,First Protein Name,fc_betas
545,MYH6,2.8784908902900863
546,MYH6,9.400717897411726
547,MYH6,3.7429568663019244
548,MYH6,3.8889709138591306
549,MYH6,13.01780666265049
550,MYH6,2.2648562352729855
551,MYH6,0.3975283005826211
552,MYH6,3.193341435175645
553,MYH6,3.9946888143875197
554,MYH6,4.989334654178059
555,MYH6,6.543035199927545
556,MYH6,6.7798183427644725
557,MYH6,4.09021467541583
558,MYH6,4.5824462799142465
559,MYH6,10.908670307707856
565,MRLC2V,1.6188347787978197
566,MRLC2V,5.045317582239311
567,MRLC2V,4.918066313372651
568,MRLC2V,2.76498424890159
569,MRLC2V,3.6806524514698866
570,MYL3,1.1845242285231157
571,MYL3,4.27304586161704
572,MYL3,1.8800549350140967
573,TNNI3,9.234525964603465
574,TNNI3,4.737615208464828
575,TNNI3,3.215928536841825
576,TNNI3,4.112693336939352
577,TNNI3,7.26258356306495
578,TNNT2,7.834171711447753
579,TNNT2,4.844252537441314
580,TNNT2,2.564343519257947
599,CYCS,3.335434854706765
600,CYCS,3.6458999140105197
601,CYCS,1.513162695092577
617,Titin,19.209391421090714
623,HBA1,-6.430238922056615
624,HBA1,-2.496186083919851
625,HBA1,-2.210518265570567
626,HBA1,-4.594606917899144
627,HBA1,-3.0316630220860956
628,HBD,-7.137015719134243
629,HBD,-8.38464626317427
631,MB,4.33779986307212
632,MB,6.002285389494492
633,MB,4.435843919604392
634,MB,3.013591908132548
635,MB,9.646219775101928
636,MB,2.1455846471827362
637,MB,2.970680056852042
638,MT-ATP8,1.6511309141320991
639,MT-ATP8,0.5039747268343323
645,SLC25A3,1.5863782261993262
646,SLC25A3,3.9433575239988627
647,SLC25A3,-0.010963060012709008
648,SLC25A3,1.5280238193000988
649,SLC25A4,1.9158908500874101
650,SLC25A4,2.398379302272317
651,SLC25A4,8.12038793274786
652,SLC25A4,1.8158119982724605
699,FGA,-25.60884715888789
700,FGA,-1.4999822763484765
701,FGG,-1.7634057051875072
702,FGG,-2.244301948275349
723,CSRP3,1.9812130397475807
794,EEF1A2,4.085253734515962
831,SDHA,1.229704611917284
832,SDHA,1.3811856190598675
833,SDHA,0.03401610757444799
834,SDHA,0.10506713988090549
864,IGHG3,0.0917174811534513
