,First Protein Name,fc_betas
771,GCFC,-8.298938256799232
772,PDX1,1.8755185958208793
773,FIR,-0.853423189184887
774,RBM14,-2.110743293233543
775,RBM14,-2.4808271833360833
776,RBM14,-2.4808271833360833
777,RBM14,-3.313130780260295
778,SART3,-1.8472245762354362
779,SF3A1,-10.527506516493233
780,PSF,-1.728753284667456
781,SMARCC2,-55.623790401365
782,PC4,-5.2901532307822485
783,TADA3L,-1.791787140905189
784,TCEAL3,-7.169816606496353
785,treacle,-3.153876264240615
786,treacle,-2.049151486929151
787,treacle,-1.8912602150929039
788,treacle,-2.466721618898569
789,treacle,-2.5909364899376275
790,Trap150,-9.291986848006662
791,YEATS4,-1.6363153569973017
793,EEF1A1,0.2732290611084976
795,EIF5A,-0.4706681948203472
796,EIF5A,-1.9977938892738736
797,RPS30,-1.9290076123914135
798,NPM1,-1.5697956075035793
799,NPM1,-1.5697956075035793
800,NPM1,-2.1804586209071637
801,NPM1,-4.446836419058319
802,NPM1,-8.634209186601257
803,RPL14,-1.2755373479479815
804,RPL14,-1.7838530926049458
805,RPL19,-1.6588652133386852
806,RPL27,-20.718510218526035
807,RPL29,-1.97480754196018
808,RPL34,-3.1202768397839566
809,RPL34,-6.845163117810434
810,RPL35,-1.599591495071238
811,RPL4,-1.3465842682831988
812,RPL8,-2.473550790613143
813,RPS11,-13.05868781265614
814,RPS25,-0.498639921787655
815,RPS3A,-8.222467980934704
816,S6,-1.5996688271386086
817,RRBP1,-1.3830704994849214
818,CSIG,-1.7263496323773035
819,TARS2,-0.4959273124154396
820,VARS,-0.49732431924565423
822,fumarase,1.4569447396201163
823,fumarase,1.5147029392558844
824,fumarase,1.446842340802842
825,fumarase,2.2341779072728043
826,ING4,-14.164665215041659
827,ING4,-4.053543959811583
828,NME1,2.5123015038049603
829,NME1,1.2762769168566623
830,NME1,0.11851709536285708
836,LETMD1,-1.824128674659099
838,ATRX,-4.047479602967935
839,RNF40,-2.305107416560433
840,RNF40,-2.305107416560433
841,UBLE1A,-10.182189402357913
843,GLTSCR1,-6.415369536452351
844,CCDC82,7.005780631927107
845,CENPV,-2.6932355433655473
846,Mel13,-0.176021859111845
847,LOC153222,-2.1800838177719166
848,C19orf53,-3.6574833800699187
849,DPY30,-3.5519484001491555
850,EBF2,2.0241291748721784
851,H2AFV,-2.011924625302306
852,H2AFV,-1.894218304037769
853,KANSL1,-21.15913115351626
854,KHDC4,-4.990548026060149
855,LMCD1,-1.5265121719099854
856,LMCD1,-1.5265121719099854
857,LRRCC1,-2.021625841640997
858,MAMLD1,-2.367476375946193
859,MAP7D2,0.5430277192641927
860,Mbl1,-2.5488410399854655
861,C1orf174,-21.972775114190664
862,KIAA1143,-8.464158093322359
863,MGC11257,-5.485587015278432
865,perilipin 4,-4.758191190558263
866,perilipin 4,-7.385831998030266
867,PSME3IP1,-36.836854982999306
868,RPL37A,1.7811979745599231
869,RTRAF,-1.775528456208153
870,S100A6,1.7946187592968696
871,SBNO1,2.5297384964581835
872,SETBP1,-25.41208822381116
873,SFR1,-3.5375046165778126
874,SFR1,-18.40207878136477
875,UBN2,-12.63887885977329
876,UBN2,-6.016442306638795
877,CMYA3,1.9541018552605656
878,CMYA3,2.1250319514198255
879,CMYA3,2.1250319514198255
880,YEATS2,-34.78525666948499
881,ZC3H18,-3.0891191005262697
882,ZC3H18,-24.871760765517156
883,ZC3H18,-58.71933641780446
884,ZYG11B,-6.0831815599539
886,EHD2,1.505033704376036
